@relation TestUser1

@attribute FeatureName1AccX numeric
@attribute FeatureName2AccX numeric
@attribute FeatureName3AccX numeric
@attribute FeatureName1AccY numeric
@attribute FeatureName2AccY numeric
@attribute FeatureName3AccY numeric
@attribute FeatureName1AccZ numeric
@attribute FeatureName2AccZ numeric
@attribute FeatureName3AccZ numeric
@attribute FeatureName1GyrX numeric
@attribute FeatureName2GyrX numeric
@attribute FeatureName3GyrX numeric
@attribute FeatureName1GyrY numeric
@attribute FeatureName2GyrY numeric
@attribute FeatureName3GyrY numeric
@attribute FeatureName1GyrZ numeric
@attribute FeatureName2GyrZ numeric
@attribute FeatureName3GyrZ numeric
@attribute class {1, 0}

@data
-0.206819, -0.849616, 0.149149, 0.052766, -0.300961, 0.420813, 0.059401, -0.506041, 0.580615, 5.413175, 3.700568, 5.960164, -0.751181, -2.350555, 2.369704, 8.582861, 7.645287, 10.709146, 0
-0.206269, -0.849616, 0.149149, 0.050959, -0.300961, 0.420813, 0.057737, -0.506041, 0.580615, 5.419937, 3.700568, 5.960164, -0.763231, -2.350555, 2.369704, 8.578987, 7.645287, 10.709146, 0
-0.206624, -0.849616, 0.149149, 0.049272, -0.300961, 0.420813, 0.055741, -0.506041, 0.580615, 5.426286, 3.700568, 5.960164, -0.775649, -2.350555, 2.369704, 8.574074, 7.645287, 10.709146, 0
-0.207218, -0.849616, 0.149149, 0.047768, -0.300961, 0.420813, 0.053808, -0.506041, 0.580615, 5.431055, 3.700568, 5.960164, -0.787150, -2.350555, 2.369704, 8.571214, 7.645287, 10.709146, 0
-0.207440, -0.849616, 0.149149, 0.046394, -0.300961, 0.420813, 0.052180, -0.506041, 0.580615, 5.437287, 3.700568, 5.960164, -0.799635, -2.350555, 2.369704, 8.568513, 7.645287, 10.709146, 0
-0.207313, -0.849616, 0.149149, 0.045037, -0.300961, 0.420813, 0.050502, -0.506041, 0.580615, 5.443033, 3.700568, 5.960164, -0.811018, -2.350555, 2.369704, 8.565205, 7.645287, 10.709146, 0
-0.207412, -0.849616, 0.149149, 0.043802, -0.300961, 0.420813, 0.048416, -0.506041, 0.580615, 5.449400, 3.700568, 5.960164, -0.822843, -2.350555, 2.369704, 8.560796, 7.645287, 10.709146, 0
-0.207637, -0.849616, 0.149149, 0.042784, -0.300961, 0.420813, 0.046137, -0.506041, 0.580615, 5.455521, 3.700568, 5.960164, -0.834710, -2.350555, 2.369704, 8.557525, 7.645287, 10.709146, 0
-0.208058, -0.849616, 0.149149, 0.041899, -0.300961, 0.420813, 0.043826, -0.506041, 0.580615, 5.461707, 3.700568, 5.960164, -0.847273, -2.350555, 2.369704, 8.554643, 7.645287, 10.709146, 0
-0.208476, -0.849616, 0.149149, 0.041051, -0.300961, 0.420813, 0.041659, -0.506041, 0.580615, 5.468305, 3.700568, 6.027186, -0.861225, -2.350555, 2.369704, 8.550493, 7.645287, 10.709146, 0
-0.208952, -0.849616, 0.149149, 0.040435, -0.300961, 0.420813, 0.039636, -0.506041, 0.580615, 5.474169, 3.700568, 6.027186, -0.874108, -2.350555, 2.369704, 8.546032, 7.645287, 10.709146, 0
-0.209422, -0.849616, 0.149149, 0.040045, -0.300961, 0.420813, 0.037699, -0.506041, 0.580615, 5.479715, 3.700568, 6.027186, -0.885283, -2.350555, 2.369704, 8.544107, 7.645287, 10.709146, 0
-0.209787, -0.849616, 0.149149, 0.039951, -0.300961, 0.420813, 0.035716, -0.506041, 0.580615, 5.485146, 3.700568, 6.027186, -0.897974, -2.350555, 2.369704, 8.539910, 7.645287, 10.709146, 0
-0.209801, -0.849616, 0.149149, 0.040043, -0.300961, 0.420813, 0.033808, -0.506041, 0.580615, 5.489403, 3.700568, 6.027186, -0.911415, -2.350555, 2.369704, 8.536690, 7.645287, 10.709146, 0
-0.209510, -0.849616, 0.149149, 0.040295, -0.300961, 0.420813, 0.031928, -0.506041, 0.580615, 5.494350, 3.700568, 6.027186, -0.925370, -2.350555, 2.369704, 8.531797, 7.645287, 10.709146, 0
-0.209245, -0.849616, 0.149149, 0.040734, -0.300961, 0.420813, 0.030054, -0.506041, 0.580615, 5.499870, 3.700568, 6.027186, -0.937926, -2.350555, 2.369704, 8.527807, 7.645287, 10.709146, 0
-0.208929, -0.849616, 0.149149, 0.041365, -0.300961, 0.420813, 0.028327, -0.506041, 0.580615, 5.504620, 3.700568, 6.027186, -0.950868, -2.350555, 2.369704, 8.524049, 7.645287, 10.709146, 0
-0.208263, -0.849616, 0.149149, 0.042100, -0.300961, 0.420813, 0.026646, -0.506041, 0.580615, 5.509281, 3.700568, 6.027186, -0.963708, -2.350555, 2.369704, 8.519973, 7.645287, 10.709146, 0
-0.207415, -0.849616, 0.149149, 0.042924, -0.300961, 0.420813, 0.024875, -0.506041, 0.580615, 5.513856, 3.700568, 6.027186, -0.976961, -2.350555, 2.369704, 8.515659, 7.645287, 10.709146, 0
-0.206157, -0.849616, 0.149149, 0.043692, -0.300961, 0.420813, 0.023370, -0.506041, 0.580615, 5.517995, 3.700568, 6.027186, -0.989536, -2.350555, 2.369704, 8.511157, 7.645287, 10.709146, 0
-0.204601, -0.849616, 0.149149, 0.044363, -0.300961, 0.420813, 0.022275, -0.506041, 0.580615, 5.521518, 3.700568, 6.027186, -1.001412, -2.350555, 2.369704, 8.506649, 7.645287, 10.709146, 0
-0.202871, -0.849616, 0.149149, 0.044876, -0.300961, 0.420813, 0.021481, -0.506041, 0.580615, 5.524532, 3.700568, 6.027186, -1.013666, -2.350555, 2.369704, 8.501338, 7.645287, 10.709146, 0
-0.200919, -0.849616, 0.149149, 0.045171, -0.300961, 0.420813, 0.020970, -0.506041, 0.580615, 5.526734, 3.700568, 6.027186, -1.025435, -2.350555, 2.369704, 8.496848, 7.645287, 10.709146, 0
-0.198734, -0.849616, 0.149149, 0.045219, -0.300961, 0.420813, 0.020768, -0.506041, 0.580615, 5.530108, 3.700568, 6.027186, -1.035894, -2.350555, 2.369704, 8.493887, 7.645287, 10.709146, 0
-0.196279, -0.849616, 0.149149, 0.044953, -0.300961, 0.420813, 0.020896, -0.506041, 0.580615, 5.535262, 3.700568, 6.027186, -1.044959, -2.350555, 2.369704, 8.492156, 7.645287, 10.709146, 0
-0.193590, -0.849616, 0.149149, 0.044367, -0.300961, 0.420813, 0.021296, -0.506041, 0.580615, 5.540242, 3.700568, 6.027186, -1.054694, -2.350555, 2.369704, 8.490339, 7.645287, 10.709146, 0
-0.190505, -0.849616, 0.149149, 0.043458, -0.300961, 0.420813, 0.021823, -0.506041, 0.580615, 5.544546, 3.700568, 6.027186, -1.065384, -2.350555, 2.369704, 8.487950, 7.645287, 10.709146, 0
-0.187109, -0.849616, 0.149149, 0.042300, -0.300961, 0.420813, 0.022305, -0.506041, 0.580615, 5.548115, 3.700568, 6.027186, -1.075102, -2.350555, 2.369704, 8.485570, 7.645287, 10.709146, 0
-0.183834, -0.849616, 0.149149, 0.040988, -0.300961, 0.420813, 0.022905, -0.506041, 0.580615, 5.551889, 3.700568, 6.027186, -1.084538, -2.350555, 2.369704, 8.483260, 7.645287, 10.709146, 0
-0.181329, -0.849616, 0.149149, 0.039682, -0.300961, 0.420813, 0.023740, -0.506041, 0.580615, 5.556038, 3.700568, 6.027186, -1.093997, -2.350555, 2.369704, 8.480425, 7.645287, 10.709146, 0
-0.179403, -0.849616, 0.149149, 0.038407, -0.300961, 0.420813, 0.024699, -0.506041, 0.580615, 5.560377, 3.700568, 6.027186, -1.102892, -2.350555, 2.369704, 8.478039, 7.645287, 10.709146, 0
-0.177483, -0.849616, 0.149149, 0.037131, -0.300961, 0.420813, 0.025633, -0.506041, 0.580615, 5.564183, 3.700568, 6.027186, -1.110968, -2.350555, 2.369704, 8.475643, 7.645287, 10.709146, 0
-0.175522, -0.849616, 0.149149, 0.035860, -0.300961, 0.420813, 0.026373, -0.506041, 0.580615, 5.567856, 3.700568, 6.027186, -1.118481, -2.350555, 2.369704, 8.473869, 7.645287, 10.709146, 0
-0.173388, -0.849616, 0.149149, 0.034640, -0.300961, 0.420813, 0.026971, -0.506041, 0.580615, 5.571645, 3.700568, 6.027186, -1.126054, -2.350555, 2.369704, 8.473344, 7.645287, 10.709146, 0
-0.170764, -0.849616, 0.149149, 0.033470, -0.300961, 0.420813, 0.027694, -0.506041, 0.580615, 5.575079, 3.700568, 6.027186, -1.133759, -2.350555, 2.369704, 8.472810, 7.645287, 10.709146, 0
-0.167668, -0.849616, 0.165129, 0.032426, -0.300961, 0.420813, 0.028739, -0.506041, 0.580615, 5.578018, 3.700568, 6.027186, -1.140070, -2.350555, 2.369704, 8.471469, 7.645287, 10.709146, 0
-0.164433, -0.849616, 0.170456, 0.031602, -0.300961, 0.420813, 0.030055, -0.506041, 0.580615, 5.580496, 3.700568, 6.027186, -1.145946, -2.350555, 2.369704, 8.469767, 7.645287, 10.709146, 0
-0.161309, -0.849616, 0.170456, 0.031088, -0.300961, 0.420813, 0.031443, -0.506041, 0.580615, 5.582416, 3.700568, 6.027186, -1.152549, -2.350555, 2.369704, 8.467532, 7.645287, 10.709146, 0
-0.158476, -0.849616, 0.170456, 0.030940, -0.300961, 0.420813, 0.033121, -0.506041, 0.580615, 5.583522, 3.700568, 6.027186, -1.158937, -2.350555, 2.369704, 8.465808, 7.645287, 10.709146, 0
-0.156009, -0.849616, 0.170456, 0.031074, -0.300961, 0.420813, 0.035236, -0.506041, 0.580615, 5.583624, 3.700568, 6.027186, -1.163739, -2.350555, 2.369704, 8.466050, 7.645287, 10.709146, 0
-0.153672, -0.849616, 0.170456, 0.031398, -0.300961, 0.420813, 0.037203, -0.506041, 0.580615, 5.583671, 3.700568, 6.027186, -1.167316, -2.350555, 2.369704, 8.467209, 7.645287, 10.709146, 0
-0.151089, -0.849616, 0.170456, 0.031912, -0.300961, 0.420813, 0.038787, -0.506041, 0.580615, 5.584648, 3.700568, 6.027186, -1.170442, -2.350555, 2.369704, 8.467926, 7.645287, 10.709146, 0
-0.148069, -0.849616, 0.205080, 0.032692, -0.300961, 0.420813, 0.040047, -0.506041, 0.580615, 5.585833, 3.700568, 6.027186, -1.173267, -2.350555, 2.369704, 8.469116, 7.645287, 10.709146, 0
-0.144729, -0.849616, 0.229050, 0.033669, -0.300961, 0.420813, 0.040973, -0.506041, 0.580615, 5.587343, 3.700568, 6.027186, -1.176731, -2.350555, 2.369704, 8.469837, 7.645287, 10.709146, 0
-0.141606, -0.849616, 0.229050, 0.034752, -0.300961, 0.420813, 0.041425, -0.506041, 0.580615, 5.588466, 3.700568, 6.027186, -1.182886, -2.350555, 2.369704, 8.470819, 7.645287, 10.709146, 0
-0.139188, -0.849616, 0.229050, 0.035915, -0.300961, 0.420813, 0.041464, -0.506041, 0.580615, 5.589603, 3.700568, 6.027186, -1.191202, -2.350555, 2.369704, 8.470546, 7.645287, 10.709146, 0
